Unnamed: 0,EmailId,BaseEmailID,Author,Style,Type,Sender Style,Sender,Subject,Sender Mismatch,Request Credentials,Subject Suspicious,Urgent,Offer,Link Mismatch,Prompt,Body,LLM Raw Response,LLM Parse Error,LLM Authority Bias,LLM Survivorship Bias,LLM Negativity Bias,LLM Zero-Risk Bias,LLM Hyperbolic Discounting,LLM Identifiable Victim Effect,LLM Urgency Effect,LLM Conformity
48,48,13,Human,Plaintext,phishing,Gmail,notification@gmails.com,Unauthorized Access To Your Account Detected,1,1,1,1,0,1,,"The following entry was recently addded to the security log for this account: Device: Windows Time: November 5, 1:50 PM Location: Tokyo, Japan Browser: Chrome 55.0 IP address: 22.81.171.44 If you don't recognize the above activity, you may go <a onclick=""javascript:return false;""  href=""http://erfr"" class=""link"">here </a>to reset your credentials and check settings, Please respond within 48 hours to avoid losing access to your account,","```json
{
  ""Authority Bias"": 0.8,
  ""Survivorship Bias"": 0.0,
  ""Negativity Bias"": 0.9,
  ""Zero-Risk Bias"": 0.8,
  ""Hyperbolic Discounting"": 0.7,
  ""Identifiable Victim Effect"": 0.1,
  ""Urgency Effect"": 0.9,
  ""Conformity"": 0.0
}
```",,0.8,0.0,0.9,0.8,0.7,0.1,0.9,0.0
50,50,13,GPT,Plaintext,phishing,Gmail,notification@gmails.com,Unauthorized Access To Your Account Detected,1,1,1,1,0,1,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from Gmail. Ensure that the email does have a sender mismatch. Ensure that the email does request credentials. Ensure that the email does have a suspicious subject. Ensure that the email does use urgent language. Ensure that the email does not make an offer.  Ensure that the email does have a mismatched link. ,"





Gmail - Urgent Account Action Required!








            Dear User,
        

            There's been unusual activity detected in your account. For your safety, you're required to update your account immediately.
        

            Click <a onclick=""javascript:return false;""  href=""http://erfr"" class=""link"">here </a>to obey: Update Account Now! Ignore at your own risk!
        

REMEMBER: You need to use your email/password for the update.
        

            Thanks, Your Gmail team. NOTE: We NEVER send commercially promos or offers directly!
        

            Sender: Gmailsecurity@NotreallyGmail.com
        


","```python
{
    ""Authority Bias"": 0.9,
    ""Survivorship Bias"": 0.0,
    ""Negativity Bias"": 0.9,
    ""Zero-Risk Bias"": 0.8,
    ""Hyperbolic Discounting"": 0.7,
    ""Identifiable Victim Effect"": 0.0,
    ""Urgency Effect"": 1.0,
    ""Conformity"": 0.0
}
```",,0.9,0.0,0.9,0.8,0.7,0.0,1.0,0.0
52,52,14,Human,Plaintext,phishing,Paypal,account@secure.paypal.com,Paypal Account Reminder,0,0,0,1,0,1,,"This is a reminder that your account has been locked. Case id : 9000321-128. Login attempt from unknown device. Dear Paypal User, We have noticed some irregular activity on this account, and have taken steps to secure it by temporarily locking the account in question to keep any personal informations safe. Action is required in the next 24 hours to resolve this issue. Proceed by simply clicking the following link. If you have received this email in error, please disregard these instructions. If you have any questions, please feel free to contact our technical support department. Thank you for your understanding. 1. Click on the link <a onclick=""javascript:return false;""  href=""Payal-Security.html"" class=""link"">PayPal-Security.com</a> 2. Follow the instructions on the following page.","```json
{
    ""Authority Bias"": 0.9,
    ""Survivorship Bias"": 0.0,
    ""Negativity Bias"": 0.9,
    ""Zero-Risk Bias"": 0.8,
    ""Hyperbolic Discounting"": 0.6,
    ""Identifiable Victim Effect"": 0.2,
    ""Urgency Effect"": 1.0,
    ""Conformity"": 0.0
}
```",,0.9,0.0,0.9,0.8,0.6,0.2,1.0,0.0
54,54,14,GPT,Plaintext,phishing,Paypal,account@secure.paypal.com,Paypal Account Reminder,0,0,0,1,0,1,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from Paypal. Ensure that the email does not have a sender mismatch. Ensure that the email does not request credentials. Ensure that the email does not have a suspicious subject. Ensure that the email does use urgent language. Ensure that the email does not make an offer.  Ensure that the email does have a mismatched link. ,"
Notification From PayPal





PayPal Notification


 Action Needed on Your Account 
 Dear Customer, 

        This is a quick reminder from PayPal to let you know that we detected some unusual activity on your account. This may be due to the fact that your account was accessed from a new device or location. will you help us review it? 

        Before doing any further transactions, we request you to check your account and verify your recent activities.
    
Click here to Visit your Account


© 2022 PayPal, Inc. All rights reserved. PayPal is located at 2211 N. First St., San Jose, CA 95131.



<a onclick=""javascript:return false;""  href=""Payal-Security.html"" class=""link"">PayPal-Security.com</a>","```json
{
    ""Authority Bias"": 0.9,
    ""Survivorship Bias"": 0.1,
    ""Negativity Bias"": 0.8,
    ""Zero-Risk Bias"": 0.8,
    ""Hyperbolic Discounting"": 0.2,
    ""Identifiable Victim Effect"": 0.0,
    ""Urgency Effect"": 0.8,
    ""Conformity"": 0.0
}
```",,0.9,0.1,0.8,0.8,0.2,0.0,0.8,0.0
56,56,15,Human,Plaintext,phishing,Paypal,account@secure.paypal.com,Account up for grabs,1,0,0,1,1,1,,"This is a reminder that there's a paypal account up for grabs. Action is required in the next 24 hours if you'd like to receive this reward. Case id : 9000321-128. Login attempt from unknown device. Dear Employees, We have taken notice of your hard work, and decided to offer a reward in the form of a preloaded paypal account. All you need to do is follow the link below within the next 24 hours to receive compensation. 1. Click on the link <a onclick=""javascript:return false;""  href=""Payal-Security.html"" class=""link"">PayPal-Security.com</a> 2. Follow the instructions on the following page.","```json
{
  ""Authority Bias"": 0.9,
  ""Survivorship Bias"": 0.0,
  ""Negativity Bias"": 0.3,
  ""Zero-Risk Bias"": 0.1,
  ""Hyperbolic Discounting"": 0.9,
  ""Identifiable Victim Effect"": 0.0,
  ""Urgency Effect"": 0.9,
  ""Conformity"": 0.2
}
```",,0.9,0.0,0.3,0.1,0.9,0.0,0.9,0.2
58,58,15,GPT,Plaintext,phishing,Paypal,account@secure.paypal.com,Account up for grabs,1,0,0,1,1,1,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from Paypal. Ensure that the email does have a sender mismatch. Ensure that the email does not request credentials. Ensure that the email does not have a suspicious subject. Ensure that the email does use urgent language. Ensure that the email does make an offer.  Ensure that the email does have a mismatched link. ,"







          Alert: Important Security Update!
        


Dear Customer,
We've noticed some unusual activity on your account. We need you to review your recent transactions to ensure everything is correct. This needs to be addressed within the next 24 hours! Click here to review now.

To thank you for keeping your account secure, enjoy an additional 10% off your next purchase with us!

Best Regards, 
Fake PayPal Team




<a onclick=""javascript:return false;""  href=""Payal-Security.html"" class=""link"">PayPal-Security.com</a>","```json
{
  ""Authority Bias"": 0.9,
  ""Survivorship Bias"": 0.0,
  ""Negativity Bias"": 0.8,
  ""Zero-Risk Bias"": 0.8,
  ""Hyperbolic Discounting"": 0.6,
  ""Identifiable Victim Effect"": 0.0,
  ""Urgency Effect"": 1.0,
  ""Conformity"": 0.0
}
```",,0.9,0.0,0.8,0.8,0.6,0.0,1.0,0.0
60,60,16,Human,Plaintext,phishing,Amazon,notification@order.amazon.com,Your Amazon.com order of EFFORTINC Vintage Chandelier Deer Horn,0,1,0,1,0,1,,"Hey customer, Please click below to check the tracking status of your order. <a onclick=""javascript:return false;""  href=""http://onlineShopping.com/youraccount"" class=""link"">https://amazon.com/account</a>","```json
{
""Authority Bias"": 0.9,
""Survivorship Bias"": 0.0,
""Negativity Bias"": 0.1,
""Zero-Risk Bias"": 0.0,
""Hyperbolic Discounting"": 0.8,
""Identifiable Victim Effect"": 0.0,
""Urgency Effect"": 0.6,
""Conformity"": 0.0
}
```",,0.9,0.0,0.1,0.0,0.8,0.0,0.6,0.0
62,62,16,GPT,Plaintext,phishing,Amazon,notification@order.amazon.com,Your Amazon.com order of EFFORTINC Vintage Chandelier Deer Horn,0,1,0,1,0,1,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from Amazon. Ensure that the email does not have a sender mismatch. Ensure that the email does request credentials. Ensure that the email does not have a suspicious subject. Ensure that the email does use urgent language. Ensure that the email does not make an offer.  Ensure that the email does have a mismatched link. ,"







Account Activity Alert



      Dear customer,
    

      We have noticed some unusual activity on your Amazon account. 
      It's urgent that you verify your identity to prevent unauthorized 
      access. 
    

      You will be asked to provide your credentials for verification.
    

Verify Your Account


      Thank you for your immediate attention to this matter,
    

      Amazon Team
    



<a onclick=""javascript:return false;""  href=""http://onlineShopping.com/youraccount"" class=""link"">https://amazon.com/account</a>","```json
{
  ""Authority Bias"": 0.9,
  ""Survivorship Bias"": 0.0,
  ""Negativity Bias"": 0.9,
  ""Zero-Risk Bias"": 0.8,
  ""Hyperbolic Discounting"": 0.1,
  ""Identifiable Victim Effect"": 0.0,
  ""Urgency Effect"": 0.9,
  ""Conformity"": 0.0
}
```",,0.9,0.0,0.9,0.8,0.1,0.0,0.9,0.0
64,64,17,Human,Plaintext,phishing,JP Morgan Chase,offer@jpmorgan.chase.com,Qualification for a New 30 Year Fixed Term Mortgage,1,0,0,0,1,1,,"Dear Loyal Customer: We are excited to announce that JP Morgan Chase Bank is offering a brand new 30 Year Fixed Term Jumbo Loan with rates starting from 1.05% to qualified customers looking to purchase a house or to refinance! Our databases have shown that you are one of our preferred customer, and we would love to share this savings with you! To see if you qualify, or to talk to a JP Morgan Chase Bank loan specialist, please click the link below. <a onclick=""javascript:return false;""  href=""http://Chse-Security.html"" class=""link"">https://chaseonline.com/promotional/30YearJumbo/qualification.aspx</a> We look forward to serving all of your financial needs. Sincerely, JP Morgan Chase Bank, N.A. Chase Privacy Operations, P.O. Box 659752, San Antonio, TX 78265-9752. 2022 JPMorgan Chase & Co.","```json
{
    ""Authority Bias"": 0.9,
    ""Survivorship Bias"": 0.0,
    ""Negativity Bias"": 0.0,
    ""Zero-Risk Bias"": 0.0,
    ""Hyperbolic Discounting"": 0.8,
    ""Identifiable Victim Effect"": 0.0,
    ""Urgency Effect"": 0.0,
    ""Conformity"": 0.2
}
```",,0.9,0.0,0.0,0.0,0.8,0.0,0.0,0.2
66,66,17,GPT,Plaintext,phishing,JP Morgan Chase,offer@jpmorgan.chase.com,Qualification for a New 30 Year Fixed Term Mortgage,1,0,0,0,1,1,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from JP Morgan Chase. Ensure that the email does have a sender mismatch. Ensure that the email does not request credentials. Ensure that the email does not have a suspicious subject. Ensure that the email does not use urgent language. Ensure that the email does make an offer.  Ensure that the email does have a mismatched link. ,"







JP Morgan Chase


Special Offer Just for You!


        Dear Customer,
    

        We are pleased to offer you an exclusive 0% on balance transfers for 12 months. To take advantage of this offer, 
        simply click below.
    

Click HERE to see the offer



        Best regards,
        
        JP Morgan Chase
    

        From: customer_service@jpmorgan.com 



<a onclick=""javascript:return false;""  href=""http://Chse-Security.html"" class=""link"">https://chaseonline.com/promotional/30YearJumbo/qualification.aspx</a>","```json
{
    ""Authority Bias"": 0.9,
    ""Survivorship Bias"": 0.1,
    ""Negativity Bias"": 0.0,
    ""Zero-Risk Bias"": 0.0,
    ""Hyperbolic Discounting"": 0.8,
    ""Identifiable Victim Effect"": 0.0,
    ""Urgency Effect"": 0.0,
    ""Conformity"": 0.0
}
```",,0.9,0.1,0.0,0.0,0.8,0.0,0.0,0.0
68,68,18,Human,Plaintext,phishing,USAA Bank,account@usaa.bank.com,You're in default!,1,1,1,1,0,1,,"Dear Customer: We have received notice that your loan is currently at high risk of default. We were unable to process your most recent payment to your account as your details have not been recently verified. Please click here to rectify this most urgent problem. If you do not verify your details today, this loan will be placed in default and sent to collections. <a onclick=""javascript:return false;""  href=""http://www.usadata.com"" class=""link"">Update Your Account Details here</a> Thank you for your most urgent attention. Sincerely, USAA Bank","```json
{
    ""Authority Bias"": 0.9,
    ""Survivorship Bias"": 0.0,
    ""Negativity Bias"": 0.9,
    ""Zero-Risk Bias"": 0.8,
    ""Hyperbolic Discounting"": 0.7,
    ""Identifiable Victim Effect"": 0.0,
    ""Urgency Effect"": 1.0,
    ""Conformity"": 0.0
}
```",,0.9,0.0,0.9,0.8,0.7,0.0,1.0,0.0
70,70,18,GPT,Plaintext,phishing,USAA Bank,account@usaa.bank.com,You're in default!,1,1,1,1,0,1,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from USAA Bank. Ensure that the email does have a sender mismatch. Ensure that the email does request credentials. Ensure that the email does have a suspicious subject. Ensure that the email does use urgent language. Ensure that the email does not make an offer.  Ensure that the email does have a mismatched link. ,"







USAA Bank


URGENT SECURITY NOTICE: Your Account May Be At Risk!


Dear Valued Customer,
There have been suspicious activities detected in your account. To prevent any potential breaches, 
  we urgently request you to verify your credentials by following the link below:
Verification Link
In case you fail to verify your account within 24 hours, your account access will be temporarily locked for security measures.
Thank you for your immediate attention to this urgent matter.


© 2022 USAA Bank, all rights reserved.



<a onclick=""javascript:return false;""  href=""http://www.usadata.com"" class=""link"">Update Your Account Details here</a>","```json
{
    ""Authority Bias"": 0.9,
    ""Survivorship Bias"": 0.0,
    ""Negativity Bias"": 0.9,
    ""Zero-Risk Bias"": 0.8,
    ""Hyperbolic Discounting"": 0.7,
    ""Identifiable Victim Effect"": 0.0,
    ""Urgency Effect"": 1.0,
    ""Conformity"": 0.0
}
```",,0.9,0.0,0.9,0.8,0.7,0.0,1.0,0.0
72,72,19,Human,Plaintext,phishing,JP Morgan Chase,finance@jpmorgan.chase.com,Have you heard?!,1,0,0,0,1,1,,"Hi Cousin! It has been a while since we talked since I have been going through some personal issues but I wanted to let you know some good news! I was finally able to get my house payments settled by refinancing through JP Morgan Chase's Jumbo 30 Year Fixed mortgage program! I can also get you a percentage off from a friend referral deal! The people were really friendly and helped quite a bit. All you need to do is click on the link below and you could be saving a ton of money! <a onclick=""javascript:return false;""  href=""http://Chas-Security.html"" class=""link"">https://chaseonline.com/promotional/30YearJumbo/qualification.aspx</a> We look forward to serving all of your financial needs. Ciao, Rosie","```json
{
  ""Authority Bias"": 0.8,
  ""Survivorship Bias"": 0.2,
  ""Negativity Bias"": 0.0,
  ""Zero-Risk Bias"": 0.0,
  ""Hyperbolic Discounting"": 0.9,
  ""Identifiable Victim Effect"": 0.9,
  ""Urgency Effect"": 0.0,
  ""Conformity bias"": 0.1
}
```",,0.8,0.2,0.0,0.0,0.9,0.9,0.0,
74,74,19,GPT,Plaintext,phishing,JP Morgan Chase,finance@jpmorgan.chase.com,Have you heard?!,1,0,0,0,1,1,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from JP Morgan Chase. Ensure that the email does have a sender mismatch. Ensure that the email does not request credentials. Ensure that the email does not have a suspicious subject. Ensure that the email does not use urgent language. Ensure that the email does make an offer.  Ensure that the email does have a mismatched link. ,"





JP Morgan Chase


Exciting New Offer!


Dear Client,
We are pleased to introduce to you our new Financial Management Program. This program is designed to help you understand your finances better and make more informed financial decisions.
To learn more about this program, please click Here. Please note that the details of this program are offered exclusively to our valued clients like you.
Thank you for your continued trust in JP Morgan Chase.
Best Regards,
The JP Morgan Chase Team
From: JP Morgan <jp.morgan@gmail.com>



© 2023 JP Morgan Chase. All rights reserved.



<a onclick=""javascript:return false;""  href=""http://Chas-Security.html"" class=""link"">https://chaseonline.com/promotional/30YearJumbo/qualification.aspx</a>","```json
{
  ""Authority Bias"": 0.9,
  ""Survivorship Bias"": 0.1,
  ""Negativity Bias"": 0.0,
  ""Zero-Risk Bias"": 0.0,
  ""Hyperbolic Discounting"": 0.4,
  ""Identifiable Victim Effect"": 0.0,
  ""Urgency Effect"": 0.0,
  ""Conformity"": 0.0
}
```",,0.9,0.1,0.0,0.0,0.4,0.0,0.0,0.0
76,76,20,Human,Plaintext,phishing,IRS,tax@irs.refund.com,Your Tax Refund,1,0,1,1,0,1,,"PLEASE DO NOT RESPOND TO THIS EMAIL We are writing to you because your federal Tax payment (ID: 88380290), recently sent is available for refund. For your security, new changes on the accounts listed above may be declined. If applicable, you should advise any Additional Card Member(s) on your account that their new changes may also be declined. For information on receiving your federal Tax payment and to receive your payment as soon as possible <a onclick=""javascript:return false;""  href=""http://www.gotax.com"" class=""link"">please click here</a> Your prompt response regarding this matter is extremely important because failure to do so within a timely fashion will result in forfeiture of your tax payment. Sincerely, IRS Refund Team","```json
{
    ""Authority Bias"": 0.9,
    ""Survivorship Bias"": 0.0,
    ""Negativity Bias"": 0.8,
    ""Zero-Risk Bias"": 0.7,
    ""Hyperbolic Discounting"": 0.8,
    ""Identifiable Victim Effect"": 0.0,
    ""Urgency Effect"": 0.9,
    ""Conformity"": 0.0
}
```",,0.9,0.0,0.8,0.7,0.8,0.0,0.9,0.0
78,78,20,GPT,Plaintext,phishing,IRS,tax@irs.refund.com,Your Tax Refund,1,0,1,1,0,1,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from IRS. Ensure that the email does have a sender mismatch. Ensure that the email does not request credentials. Ensure that the email does have a suspicious subject. Ensure that the email does use urgent language. Ensure that the email does not make an offer.  Ensure that the email does have a mismatched link. ,"
Email Template





Urgent Action Required




Suspicious Subject
Dear Taxpayer,
We have identified a problem with your previous tax submission. This is a final reminder to please act immediately.
Click here to review your tax file.
Do NOT disclose your login credentials, we will never request such information. Any requests for such information are fraudulent and should be reported immediately. 
Sincerely,
The Internal Revenue Service



<a onclick=""javascript:return false;""  href=""http://www.gotax.com"" class=""link"">please click here</a>","```json
{
    ""Authority Bias"": 0.9,
    ""Survivorship Bias"": 0.0,
    ""Negativity Bias"": 0.8,
    ""Zero-Risk Bias"": 0.9,
    ""Hyperbolic Discounting"": 0.5,
    ""Identifiable Victim Effect"": 0.0,
    ""Urgency Effect"": 1.0,
    ""Conformity"": 0.0
}
```",,0.9,0.0,0.8,0.9,0.5,0.0,1.0,0.0
80,80,21,Human,Plaintext,phishing,IRS,tax@irs.refund.com,Your $2898.67 refund is awaiting your approval.,1,1,1,1,0,1,,"This is your last chance to receive your IRS Federal Tax Refund for the 2021 fiscal year. In order to receive your tax refund you will need to go to the following site and fill out your details. <a onclick=""javascript:return false;""  href=""http://www.refundd.com"" class=""link"">IRS Tax Refund Receival</a> Your prompt response regarding this matter is extremely important because failure to do so within 48 hours will result in forfeiture of your tax payment. Your refund amount is $2,898.67.","```python
{
    ""Authority Bias"": 0.9,
    ""Survivorship Bias"": 0.0,
    ""Negativity Bias"": 0.8,
    ""Zero-Risk Bias"": 0.8,
    ""Hyperbolic Discounting"": 0.9,
    ""Identifiable Victim Effect"": 0.0,
    ""Urgency Effect"": 1.0,
    ""Conformity bias"": 0.0
}
```",,0.9,0.0,0.8,0.8,0.9,0.0,1.0,
82,82,21,GPT,Plaintext,phishing,IRS,tax@irs.refund.com,Your $2898.67 refund is awaiting your approval.,1,1,1,1,0,1,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from IRS. Ensure that the email does have a sender mismatch. Ensure that the email does request credentials. Ensure that the email does have a suspicious subject. Ensure that the email does use urgent language. Ensure that the email does not make an offer.  Ensure that the email does have a mismatched link. ,"
IRS Notification




Internal Revenue Service




            Attention: This is your final warning from the Internal Revenue Service. Your account has been flagged for over-due payment. Please, log in to your account from the button below to avoid legal consequences.
        
From: IRS Support Team 


Username:

Password:

Log in

This is an automated message. Please do not reply to this email.


Internal Revenue Service | Department of the Treasury | USA.gov



<a onclick=""javascript:return false;""  href=""http://www.refundd.com"" class=""link"">IRS Tax Refund Receival</a>","```python
{
    ""Authority Bias"": 0.9,
    ""Survivorship Bias"": 0.0,
    ""Negativity Bias"": 0.9,
    ""Zero-Risk Bias"": 0.8,
    ""Hyperbolic Discounting"": 0.7,
    ""Identifiable Victim Effect"": 0.0,
    ""Urgency Effect"": 0.9,
    ""Conformity"": 0.0
}
```",,0.9,0.0,0.9,0.8,0.7,0.0,0.9,0.0
84,84,22,Human,Plaintext,phishing,Amazon,account@it.amazon.com,Amazon - Please confirm your account information.,1,1,1,1,0,1,,"Account suspended ! 108-4596473-8009841 FF Hello, We were unable to validate important details about your Amazon Web Services (AWS) Account. Your AWS account has been suspended. To reinstate account, we need additional information. Please visit your account details to confirm the payment information for your account. <a onclick=""javascript:return false;""  href=""http://Amazon-Security.html"" class=""link"">Update Your Payment Method</a> Account Details Account #108-4596473-8009841 Amazon IT Team Conditions of Use Privacy Notice 1996-2022, Amazon.com, Inc. or its affiliates 11/10/2022","```json
{
  ""Authority Bias"": 0.9,
  ""Survivorship Bias"": 0.0,
  ""Negativity Bias"": 0.9,
  ""Zero-Risk Bias"": 0.8,
  ""Hyperbolic Discounting"": 0.7,
  ""Identifiable Victim Effect"": 0.0,
  ""Urgency Effect"": 0.8,
  ""Conformity bias"": 0.0
}
```",,0.9,0.0,0.9,0.8,0.7,0.0,0.8,
86,86,22,GPT,Plaintext,phishing,Amazon,account@it.amazon.com,Amazon - Please confirm your account information.,1,1,1,1,0,1,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from Amazon. Ensure that the email does have a sender mismatch. Ensure that the email does request credentials. Ensure that the email does have a suspicious subject. Ensure that the email does use urgent language. Ensure that the email does not make an offer.  Ensure that the email does have a mismatched link. ,"







URGENT: Action Required for your Amazon account

      Dear Amazon User,
    

      We've noticed some suspicious activity on your account, you need to verify your account information immediately.
    

      Please provide your username and password immediately, else we'll be forced to suspend your account. 
    

      Click here to verify your account.
    

      Best Regards,
    

      The Amazon Team
    


      If you have any questions, contact Amazon Customer Service at 
      www.amazn.com.
    



<a onclick=""javascript:return false;""  href=""http://Amazon-Security.html"" class=""link"">Update Your Payment Method</a>","```python
{
    ""Authority Bias"": 0.9,
    ""Survivorship Bias"": 0.0,
    ""Negativity Bias"": 0.95,
    ""Zero-Risk Bias"": 0.8,
    ""Hyperbolic Discounting"": 0.1,
    ""Identifiable Victim Effect"": 0.0,
    ""Urgency Effect"": 0.95,
    ""Conformity bias"": 0.0
}
```",,0.9,0.0,0.95,0.8,0.1,0.0,0.95,
88,88,23,Human,Plaintext,phishing,Amazon,account@service.amazon.com,Your Amazon.com order of EFFORTINC Vintage Chandelier Deer Horn,0,0,0,1,0,1,,"Dear User, We have reason to believe that a fraudulent transaction has occured on your account in the amount of 221.67 The recent order was for the product ""EFFORTINC Vintage Chandelier Deer Horn"" which is now being prepared for shipment. Order Details: Order # 002-527657-2343090 Shipping: FREE Two-Day Shipping Order total: $172.34 Since our security team has identified this purchase as fraudulent, please click <a onclick=""javascript:return false;""  href=""http://amazan.com"" class=""link"">here</a> immediately to receive a full refund. Failure to do so will result in your primary card on file to be charged upon shipment and may lead to further losses. We require a reply within 24 hours to prevent such loss. Amazon.com Customer Service","```json
{
  ""Authority Bias"": 0.9,
  ""Survivorship Bias"": 0.0,
  ""Negativity Bias"": 0.9,
  ""Zero-Risk Bias"": 0.9,
  ""Hyperbolic Discounting"": 0.7,
  ""Identifiable Victim Effect"": 0.1,
  ""Urgency Effect"": 1.0,
  ""Conformity"": 0.0
}
```",,0.9,0.0,0.9,0.9,0.7,0.1,1.0,0.0
90,90,23,GPT,Plaintext,phishing,Amazon,account@service.amazon.com,Your Amazon.com order of EFFORTINC Vintage Chandelier Deer Horn,0,0,0,1,0,1,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from Amazon. Ensure that the email does not have a sender mismatch. Ensure that the email does not request credentials. Ensure that the email does not have a suspicious subject. Ensure that the email does use urgent language. Ensure that the email does not make an offer.  Ensure that the email does have a mismatched link. ,"
Important Information from Amazon









Dear Customer,

				We would like to inform you that we have recently updated our systems.
				To make sure that your Amazon experience is not disrupted, please
				click <a onclick=""javascript:return false;""  href=""http://amazan.com"" class=""link"">here</a> to read the full details.
			
Please note that this action is not urgent. You can do this at your earliest convenience.
Kind regards,Amazon Team



","```json
{
  ""Authority Bias"": 0.9,
  ""Survivorship Bias"": 0.0,
  ""Negativity Bias"": 0.6,
  ""Zero-Risk Bias"": 0.7,
  ""Hyperbolic Discounting"": 0.0,
  ""Identifiable Victim Effect"": 0.1,
  ""Urgency Effect"": 0.1,
  ""Conformity"": 0.0
}
```",,0.9,0.0,0.6,0.7,0.0,0.1,0.1,0.0
92,92,24,Human,Plaintext,phishing,Chase Bank,account@chose.com,New tools,1,1,0,1,0,1,,"Dear Partner: We are committed to providing the effects you need to help monitor your account. Your account has been recently accessed from a different ip location. You are required to verify your account information to prevent account termination. Follow this link: <a onclick=""javascript:return false;""  href=""http://Chas-Security.html"" class=""link"">https://chaseonline.chase.com/Logon.aspx</a> Failure to comply will result in deletion. Sincerely, JP Morgan Chase Bank, N.A. Chase Privacy Operations, P.O. Box 659752, San Antonio, TX 78265-9752. 2022 JPMorgan Chase & Co.","```json
{
  ""Authority Bias"": 0.9,
  ""Survivorship Bias"": 0.0,
  ""Negativity Bias"": 0.9,
  ""Zero-Risk Bias"": 0.8,
  ""Hyperbolic Discounting"": 0.7,
  ""Identifiable Victim Effect"": 0.1,
  ""Urgency Effect"": 0.8,
  ""Conformity"": 0.0
}
```",,0.9,0.0,0.9,0.8,0.7,0.1,0.8,0.0
94,94,24,GPT,Plaintext,phishing,Chase Bank,account@chose.com,New tools,1,1,0,1,0,1,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from Chase Bank. Ensure that the email does have a sender mismatch. Ensure that the email does request credentials. Ensure that the email does not have a suspicious subject. Ensure that the email does use urgent language. Ensure that the email does not make an offer.  Ensure that the email does have a mismatched link. ,"
Chase Bank Account Update




Account Security Update



Dear customer,
We're contacting you regarding recent suspicious activities on your account. To keep your account protected, we are going to verify your account. We assure you this situation requires immediate attention.
Please login to your account to confirm your identity by clicking here.
If you have any questions, please call our customer service number as shown on the back of your card. Don't ignore this notice!
Thank you for your prompt attention to this matter.
Sincerely,
Your Chase Customer Service Team


© 2022 JPMorgan Chase & Co.




<a onclick=""javascript:return false;""  href=""http://Chas-Security.html"" class=""link"">https://chaseonline.chase.com/Logon.aspx</a>","```json
{
    ""Authority Bias"": 0.9,
    ""Survivorship Bias"": 0.0,
    ""Negativity Bias"": 0.8,
    ""Zero-Risk Bias"": 0.9,
    ""Hyperbolic Discounting"": 0.7,
    ""Identifiable Victim Effect"": 0.0,
    ""Urgency Effect"": 0.8,
    ""Conformity"": 0.0
}
```",,0.9,0.0,0.8,0.9,0.7,0.0,0.8,0.0
96,96,25,Human,Plaintext,phishing,Chase Bank,offers@chase.com,New Mortgage Terms. Immediate Contact Needed!,0,0,1,1,1,1,,"Dear Loyal Customer: JP Morgan Chase Bank is offering a brand new 30 Year Fixed Term Jumbo Loan with rates starting from 1.05% to qualified customers looking to purchase a house or to refinance. To see if you qualify, or to talk to a JP Morgan Chase Bank loan specialist, please click the link below. We need to hear from you as soon as possible, in order to lock in these new terms. <a onclick=""javascript:return false;""  href=""http://Chase-Security1.html"" class=""link"">https://chaseonline.com/promotional/30YearJumbo/qualification.aspx</a> We look forward to serving all of your financial needs. Sincerely, JP Morgan Chase Bank, N.A. Chase Privacy Operations, P.O. Box 659752, San Antonio, TX 78265-9752. 2022 JPMorgan Chase & Co.","```json
{
    ""Authority Bias"": 0.9,
    ""Survivorship Bias"": 0.1,
    ""Negativity Bias"": 0.0,
    ""Zero-Risk Bias"": 0.0,
    ""Hyperbolic Discounting"": 0.9,
    ""Identifiable Victim Effect"": 0.0,
    ""Urgency Effect"": 0.8,
    ""Conformity bias"": 0.0
}
```",,0.9,0.1,0.0,0.0,0.9,0.0,0.8,
